"code","label","subcategory","feedback","criticality","organization","question","row_index"
"cs","Care received","Advice and support","As a session/service, it has really helped me become more confident with my child aswell as learning some new skills to use on a daily basis.","1","Care Opinion","Care Opinion - Q1",245
"cs","Care received","Advice and support","My child is now understanding more describing words, he has/is definitely making lots of progress.  
I have learnt to wait more! being more patient has helped me to understand him and given him more confidence when talking.  
I think the course has been wonderful, teaching me to take the time to go 'back to basicd' and not be so 'pushy' when it comes to his understanding.  
The course is lovely and such valuable information. I would definitely recommend it.","3","Care Opinion","Care Opinion - Q1",246
"cs","Care received","Advice and support","He is progressing in his skills- he is starting to undress toy baby and play with baby more.  
The most useful thing I've learnt is understanding the different aspects of trying/learning to talk- we don't realise how hard it is and how many things you need to learn to be able too.  
It really opened my eyes. I was taken aback by how many different things you have take in as you learn to talk. I really enjoyed the course and being able to utilise the homework with play with my son.  
Great tutors- very patient and kind. Delivered the course perfectly.","3","Care Opinion","Care Opinion - Q1",247
"cr","Care received","Rules/approach to care","The course wa useful it reminded skills used before but used less more recently and it was well paced and clear. I wouldn't make any changes.  
The most useful thing was less questions and more comments during play and wait a bit longer for responses.  
There has been some improvement in conversation skills, more comments made by me have been copies or answered.  
Claire + Dave who ran the course were friendly and make the group feel at ease straight away.","2","Care Opinion","Care Opinion - Q1",248
"ss","Staff","Staff: General","I would like to give 5 stars for caring and empathetic approach to one of the peer support workers from Rowan 2. She has outstanding people skills and she is wearing heart on her sleeve.","4","Care Opinion","Care Opinion - Q1",249
"sa","Staff","Attitude Of Staff","I attended sleep tight programme. I enjoyed the group session and was welcomed into the group straight away. The group leaders were extremely helpful and supportive. I have gained more confidence. &nbsp;","3","Care Opinion","Care Opinion - Q1",250
"ca","Care received","Activities","I was so fortunate to be recommended to John Eastwood Hospice daycare (by district nurse) where I found new friends caring staff and volunteers. Here I found new interests (painting crafts) useful exercises and an atmosphere of worth and caring, superb meals- what wonderful cooks.  
Altogether a wonderful experience after being housebound for over 12 months. My volunteer driver was a perfect gentleman. I shall miss everyone I was privileged to meet at daycare.","3","Care Opinion","Care Opinion - Q1",251
"sa","Staff","Attitude Of Staff","When I.m distressed and all the crisis team say go to distressed management and basically there's nothing we can to and it makes me feel more low.  
That if your suicidal seems their option is to come out to tell you that how do they think it makes me feel. So not happy at. It's the same when I phone them. Phoned a number of times and it felt like they just couldn't be bothered because of my bpd","-4","Care Opinion","Care Opinion - Q1",252
"dd","Dignity","Dignity: General","I had such a bad experience with this team. My GP referred me which was great as I got an appointment the next day. I went to the appointment and it was very much a fact find even though I have been accessing mental health services for six years at Highbury and QMC.
I had so much hope for this appointment I desperately needed help after already taking two overdoses. As always the doctor was lovely but the mental health nurse I am sure had been sent by the devil. She agreed to visit me at home but was very judgement and disorganised which lead to her not showing up to my appointment. I sat at home for three hours waiting and the help line stated she was still coming - she never turned up.
I spoke with a team leader who booked for someone in four days which was excessive as I was desperate for help. I am sure on this visit the different nurse meant well but he was a strange man to me and he probed in to emotional, physical and sexual abuse I had been a victim of as a child. I am very guarded about my personal live, I had only just met this man and it crushed me having to talk about this yet  again. I made it quite clear that when he left I was going to OD he managed to magic some so called anchor points from somewhere and left.
I keep my word I felt so low and worthless and traumatised by my experience with the crisis team I took a massive OD, nearly died, was in resus at qmc all night and then finally sectioned the next day.
There is a lovely doctor in the crisis team that used to work in perinatal maybe he could pass on some skills such as time keeping (ok this is crap but he turns up at least) empathy and strength to deal with complex situations.
I really hope that the people who need to read this do, this team deal with contacts that could be life or death and quite frankly the Samaritans are much better.
I am currently detained on a ward but I’ll be sure to post my review to let you all know what that was like.","-5","Care Opinion","Care Opinion - Q1",253
"ss","Staff","Staff: General","I am writing to show my appreciation for the wonderful support that Zoe has provided for myself and my daughter. Zoehas gone above and beyond to help my child through some very rough and confusing times in her young life.  
I am an American living in the UK. To say that I am a "" fish out of water "" would be an understatement. I had no clue as to where to turn to ,to get help for my child with complex disabilities. In truth, I was feeling hopeless, as I watched my daughter struggle. I had heard from other parents that the support for our children were ""a joke"" or "" non existence "". Fortunately, I can honestly say, ""hand on heart"" that in our case ,it was just the opposite. .  
From the first intake session with Zoe,I had actually begun to feel that there was hope. That I was not alone in my quest to get help for my child. Zoe has gone above and beyond to help support and to find extra support for my child. In truth, Zoe has established a positive rapport of trust with my child which, trust me, was no easy feat !!  
Through Zoe, we were able to have access to a psychiatrist for my daughter. Enter Dr. Saha, who is also a wonderful and caring individual. She has also been very supportive for my child and myself. To be honest, Zoe and Dr. Saha, are a "" dynamic duo"". Together they brainstorm and find solutions to further help my child.  
In closing, I just wanted to take a moment to applaud the wonderful work done by them both, with an extra ""shout out"" to the exceptional work done by Zoe , who in all honesty, has and continues to give her all for the sake of my child. That is a blessing that provides hope for my child's future ,which gives me hope and peace !!","5","Care Opinion","Care Opinion - Q1",254
"ss","Staff","Staff: General","I was transferred from the Queens Medical Centre with serious cognition problems. I couldn’t walk or function properly on any level. I was treated by friendly and sympathetic staff who were highly skilled as well as being cheerful. This applied to all the staff, from Consultants and Nurses to the kitchen and cleaning staff. They all wanted the best for me. I was on Castle Ward for 3 weeks and was able to return home feeling much happier and capable of movement and understanding. The staff made sure that I was going to have all the correct facilities, medications, equipment and care at home before sending me there. The Physio team even made a visit and organised the installation of a hand rail up the stairs. The social worker also did everything possible. All this made me feel much better about myself and impressed family and friends. A local club made a donation towards activity equipment on the Ward as a tribute to the care that I received.","5","Care Opinion","Care Opinion - Q1",255
"cs","Care received","Advice and support","Back in 2014 I became pregnant with my daughter after trying for 4 and a half years. I was all excited but at the beginning of December 2014 we found out my mum (my best friend) had got lung cancer. It had gone that far she needed her lung removing. After numerous of appointment she had the horrific operation in February. In between I had to keep telling myself I was pregnant and had to look after myself as well as my mum. She then started chemotherapy wich make her really poorly and most of the time was admitted. After a few months they stopped the chemotherapy and just went to frequent appointments. I could now start sorting myself out.  
After seeing the midwife and having scans I was told I was having a girl which we was all over the moon. We was then took into a room where we was told there was a high chance of my daughter having down syndrome and there was things they could do to find out but there was a chance I could lose her. 8 years ago my mum had the procedure done as she was told the same thing and unfortunately lost my brother. So I wasn’t having none of it. My mum was slowly on the mend and my belly was growing what more could I have wanted. As time went on I was admitted to triage with migraines when I was discharged the hospital gave me a letter to say I was being induced on the two week early.  
I was excited but my mum n dad would be on holiday so wouldn’t be here. But everything mum had been through she needed a holiday. So on I went to hospital and I was induced. I gave birth to my beautiful daughter on the 21st June 2015 (Father’s Day) what more could I have gave her Dad. I started breastfeeding straight away and had a lady called Sarah come and show me what to do. She said she was a breastfeeding peer support worker at my local children centre and there was a group on Wednesday morning called BABES to help mums breastfeeding. Mum n dad can home early as they couldn’t wait any longer.  
A week later the midwife came to see my daughter and I was rushed into hospital straight into theatre I still had placenta inside me. I was discharged 2 days later. At home I was having problems feeding my daughter and my breasts was getting sore and I was getting low in mood. So I said to my partner if he would come to the centre with me on Wednesday to see if I could get some help and advice. As I don’t like going out alone and don’t like meeting new people. So Wednesday came and we went to the group. As soon as I walked through the door I felt so welcomed it was lovely. We was shown around and met the breastfeeding supporters and Sarah was there that I met at the hospital so I felt a little bit more comfortable and she introduced us to Nichola that was also I support worker. They both gave me advise and some information on breastfeeding to take home with me.  
A week later I went back and I was struggling with feeding my daughter but I didn’t was to give up breastfeeding if I didn’t have a problem. We tried different positions and soon got my daughter feeding properly and my breast was soon on the mend. But I was still low in mood I couldn’t stop crying so one Wednesday morning Sarah and the team was amazing and said I should make an appointment to see the doctor. I did and I got Sarah to come with me as I was nervous. So she did and I was diagnosed with postnatal depression and put on medication.  
Since then I still breastfed my daughter till she was 2 and I was loving being a mum. We go to the centre every Wednesday to the group and love it. I love it that much I have done a volunteer course and also completed my breastfeeding peer support training so I am now a volunteer at the centre and can also help other mums in need. And my partner is just about to start it too. I can’t thank the centre enough my confidence had grown I now get out and about and loving being a parent. I also get involved in the centre as much as I can.","2","Care Opinion","Care Opinion - Q1",256
"cs","Care received","Advice and support","[Unsure about 'Daily living support']  
Three months ago, I had my first child and I want to thank all the people linked to the Stapleford Care Centre, who supported me to breast feed.  
I breast fed my daughter straight after birth and thought I had it sussed, but after five days, I gave her a bottle because my nipples had become so sore. I’d not been using techniques to help my baby latch-on properly, I thought I’d just put her to the nipple and that would be it. Also I doubted that I was producing enough milk for my daughter, as she seemed to be constantly on-and-off the breast. Friends and family tried to be supportive, by telling me that there was ‘nothing wrong with giving a bottle feed’ and encouraged me to give a formula feed before bed, so I could sleep through a good part of the night. The Midwife Team saw my daughter feeding and gave some advice on how to maintain a good feed, but my nipples became so sore and I felt I had to continue to to use a bottle, for fear of my nipples becoming unusable!  
The Midwife Team recommended that I go to BABES Breast Feeding Support Group, Stapleford Care Centre, so when my daughter was two weeks old, I went. I was warmly greeted by the volunteer worker who ran that session and by all the other mums. I soon felt comfortable being around women who had come through what I was going through, to successfully breast feed. The volunteer worker sat with me for most of that BABES session and gave me advice on breast feeding. Learning the techniques to a good latch-on enabled me to continue to breast feed. The techniques are simple, but I needed to be shown and told a few times, before I started to use them all!  
I went to BABES the following week and a BABES staff worker went over the latch-on techniques, but more importantly to me, reassured me that I was producing enough milk for my baby and told me how important the night feeds are, for milk production. With that encouraging talk in my mind, I felt supported enough to stop giving the one or two formula bottles a day, which I had started to give, and from three weeks, my child has been fed exclusively by my breast milk. This wouldn’t have happened without BABES support, as BABES gave me breast feeding knowledge that my friends and family didn’t have.  
BABES are responsible for my breast feeding success and I plan to breast feed my baby for as long as she needs it and wants it. I’m very grateful to BABES and continue to go to the weekly session and Stapleford Care Centre, as it’s nice to be around other breast feeding women and the BABES breast feeding experts.  
[Very happy with 'Being listened to']  
  
[Very happy with 'Explanations']  
  
[Very happy with 'Other staff']  
","2","Care Opinion","Care Opinion - Q1",257
"ce","Care received","Emotional care","Malvern ward  
The Sense of community project has affected me in a negative way. The Sense of Community doesn’t exist on Malvern and the 6 C’s didn’t apply. It has affected my confidence in approaching staff- it is seen as me moaning.  
It has the potential to be of value if individuals can be seen as important, if we can unite as patients and staff it would be good, happy and a busy patient is better for everybody.  
There seems to have been no leadership from staff on the project and no energy from staff. Nursing assistants I came into contact with didn’t want to be involved, they said you had to speak to a qualified but it felt like passing the buck. There was lack of materials with few resources. The pictures for the Northern Lights project didn’t get done as there is no activities co-ordinator due to the problems experienced. There is no point of contact. I am willing to be involved but it seems that no-one wants to be involved, it seems like an inconvenience to the staff.  
The positives of the project are that I’m still alive and I’ve managed to get through a difficult time. The feeling of a ‘them and us’ attitude is not conducive to my mental health. We’ve had no Christmas celebrations, no prizes or gifts so the Christmas spirit was lacking. The decorations didn’t come until too late.  
A senior member of staff said to put energy and resources into individuals if others don’t want to be involved. When activities are cancelled we need some activities on the ward to stop boredom which leads to bad behaviour.  
I am only on a small income so cannot afford craft things for myself. A positive thing was the making of the 3D Christmas cards. It would be nice to have management attend the community meetings- do they sit down with individual patients to give individual care needs? There are no OT’s on the ward, it’s a struggle to get activities to reduce self-harm.","2","Care Opinion","Care Opinion - Q1",258
"ce","Care received","Emotional care","The Sense of Community project as a ward installed the fish tank which has been very therapeutic and relaxing. We have also enjoyed the responsibility of taking care of fish on a daily basis such as cleaning and feeding them. I have valued getting together as a team and doing something different but it has been a challenge staying motivated. People seem on the whole to have enjoyed the project and it has made the ward look better.  
The next time this is run could we be provided with more tools/seeds/soil to do more in the ward garden?","1","Care Opinion","Care Opinion - Q1",259
"ce","Care received","Emotional care","Quantock ward  
When I tried to get involved with the Sense of Community project, I felt that the community pushed me out and I felt abandoned. I haven’t been involved but they did some good stuff. I would like to have been involved as the environment is nicer but I don’t feel part of it.  
The challenge for me has being made to feel welcome as I have not been made welcome. The fish that were installed as part of the project are nice (I had the idea initially) but some people monopolize the feeding/cleaning. If we do it again I would like help to be involved. The staff are OK, it’s the patients who all have individual needs.","-2","Care Opinion","Care Opinion - Q1",260
"ce","Care received","Emotional care","Cambridge ward  
The Sense of Community project has helped me feel better, but I want the gardening group back. I just like growing things but with others the enthusiasm has dropped. We have some money for the poly-tunnel. The challenge of working on the project has been knowing what to buy e.g builders wheelbarrows are very good. Some people have been watering the plants more but it is hard to keep people on board. I have put in for grounds access so I can be active outside. I’d like to thank management for all the help given on the project.","1","Care Opinion","Care Opinion - Q1",261
"ce","Care received","Emotional care","Blake ward  
The Sense of Community project has lifted my spirits. I did a poem for the Christmas decorations which has been framed. I valued taking part and having my poem displayed. I have played bingo which I have won a couple of times. I donated prizes also and it brought us together. The challenge of doing our project is staff availability but we had plenty of paper materials.  
One positive change since doing the project is that we are not locked out of rooms in the mornings.  
Can we get more staff on the wards to keep the day room open and play bingo more often?","0","Care Opinion","Care Opinion - Q1",262
"ce","Care received","Emotional care","Burne Ward  
The Sense of Community project is something I enjoyed taking part in and meeting new people - I am back into doing things. I have valued getting to know staff and there have been loads of positive changes. The environment has changed, the physical appearance, we have drinks in the day room and flasks for hot drinks.  
I would like to ask management if there could be staff that are accessible for future community projects?","1","Care Opinion","Care Opinion - Q1",263
"ds","Dignity","Feeling safe including bullying","Malvern ward  
The Sense of community project hasn’t been directed at the individual diagnoses on the ward. I felt that big personality’s tried to rule the roost and patients with smaller personalities tended to get overlooked or misunderstood and their ideas invalidated.  
The effect is then negative for the latter group. They have skills that are not being recognized, used, valued or validated. I have valued my independence and being strong minded against ‘invasive forces’- these are not necessarily a person but could be something you want, something you fear or anything wanted or not wanted.  
There have been challenged for the Sense of Community project which have included bullying, time constraints, materials and goods not arriving on time, changes in routine, having to deal and communicate with more people that I am used to dealing with. Also, it has been a challenge having privacy and a safe environment in which to express those ideas that are mine. I wouldn’t say there have been any positive changes on my ward since doing the project. I felt it provided the big personalities with more ‘power’. People of different types of personality were polarised.  
If we were to do a future project can we have more places to order supplies from? And can we have better staffing or protected time on the ward, regardless of what’s going on, so it can happen?  
Can we have information presented clearer for different people e.g autism or learning disability friendly?","-4","Care Opinion","Care Opinion - Q1",264
"ce","Care received","Emotional care","The Sense of Community project Stage 1 went really well. For myself as an individual I was able to put around 150 man hours into the project allowing myself to get lost from my own negative head space and go somewhere more positive.  
On Stage 2 I lost the passion with the project falling flat down so soon afterwards with no time to order the equipment that we needed. I valued being involved as I have had my art displayed in the courtyard that will hopefully stay displayed for a long time after I have left Rampton (which is soon). I wasn’t able to get motivated for Stage 2 but I hope Stage 3 will get better service from all.  
Challenges have included money, equipment, time, interpersonal clashes and negativity from some staff and patients. At Stage 1 I was able overcome this but I wasn’t able to get past money or equipment issues at Stage 2.  
The real positive changes from the project are being able to have real fish that are alive and swimming well and that for a small time it united a ward of 10 males working closely together. I think that if we had more money, more equipment and more time to do a project that the rest will come quite well.","2","Care Opinion","Care Opinion - Q1",265
"ce","Care received","Emotional care","The Sense of Community project has improved my mood and made me feel more relaxed in my community. I have valued my enjoyment of football discussions with others. Getting the tools for the project has been a challenge but there has been togetherness and connection which is a positive change on the ward. I would like to say thanks for letting us do it.","1","Care Opinion","Care Opinion - Q1",266
"ca","Care received","Activities","Blake ward  
I’ve had my best Christmas here and the Sense of Community project had all of us involved in the Christmas decorations. Staff, patients, the secretary, all really got involved. The first project helped but we didn’t win it so I didn’t feel so good. There weren’t many people involved and they didn’t care. We are all becoming friends. Even though we fall out, we come together.  
Bingo has been good, with prizes as it brings us together. It has been a challenge getting the time to do our work and with staffing. It has been a challenge getting everyone involved. The positive changes have been that noticing lads who have been arguing talk together- staff as well. We mix better.  
For the next project can we have an Easter themed project? We want to get permission to put decorations up on the main corridor.","1","Care Opinion","Care Opinion - Q1",267
"cr","Care received","Rules/approach to care","Burne ward  
The Sense of Community project has brought patients and staff members together, this has had a positive effect. Also, having something positive and rewarding to be involved in has enriched my life. I have valued working with other and working on our strengths. The main challenge was getting everyone involved.  
However, we managed to succeed even if everyone didn’t make the same contributions as everyone else. Being involved in the project has boosted ward morale this has had a great impact especially over the Christmas period. I think this project should continue as it not only enhances the ward environment, it also gets the hospital together and allows us to share our achievement with the greater Rampton community.","1","Care Opinion","Care Opinion - Q1",268
"ca","Care received","Activities","Canterbury ward  
The Sense of Community project meant that we had some group talks initially to discuss possibilities and plan what we were allowed to do. Permission has been given for some of the project. It hasn’t been difficult and I’ve enjoyed the planning.  
I’ve been working with management to try to get a leaflet for new patients, to help show them how to get involved. I’m hoping to get more I.T time for this.  
I think that people getting involved in the Sense of Community project has been positive. Not everyone has been regularly involved but we can all join in and eventually we should all benefit. I’ve valued being involved with the community on the other ward we are working with. We were asked to find what to put in the garden then come up with a design which was a challenge. We are producing boards to put up in the garden and it was a challenge to find out what we would be allowed to put up.  
Will it be possible that we can be more involved in building the project using some tools and equipment that we have learnt in work skills groups?","1","Care Opinion","Care Opinion - Q1",269
"cs","Care received","Advice and support","My daughter was recently under the care of the crisis team after being discharged from hospital.  
The support and help she got was outstanding.  
The doctors and nurses spent time educating her about her illness and treatment options and ways to manage future mental health difficulties. They took time to win her trust and confidence. The interactions we had with many of the team members was good but some have particularly stood out a big thank you to Jim, Sharon and Dr. DiMambro.","4","Care Opinion","Care Opinion - Q1",270
"ca","Care received","Activities","The events put on for Christmas in the sure start centres on Mansfield were brilliant. Santa was Great, The presents were awesome and both of my children loved it. Thank you for helping make Christmas special for my children  
","2","Care Opinion","Care Opinion - Q1",271
"cs","Care received","Advice and support","Learnt how to manage my children's behaviour using 123 magic. I sought help despite thinking my children were beyond help, however 123 magic has changed everything! My house is now much calmer, with less shouting and much less anger, which means we can enjoy more quality times together because we ain't so stressed out and everyone is happier.","3","Care Opinion","Care Opinion - Q1",272
"wa","Access","Time spent waiting for first appt/referral/service","I was referred to the Crisis team with depression and was very distressed and I received prompt professional understanding and excellent feedback from them.  
They kept in constant touch and explained everything what was happening along the way. I felt supported by everyone of these people they have supported us as a family and been simply wonderful.  
I cannot thank Zoe enough she is excellent caring thoughtful and very knowledgeable and understanding of my situation. Her feedback and support is helping me get my life back on track after a most distressing time in my life.  
Thank you so much you are shining examples of what a great service the NHS is all about in these days when it comes under a lot of criticism - you are a credit to the health service.","4","Care Opinion","Care Opinion - Q1",273
"cc","Care received","Care received","I have been receiving carer support for six months and my experience has been outstanding- she really gets me! She takes the time to really listen and understand. Six months ago- I was lots, defeated, guilt ridden and I was questioning my own existence!! Right from the first phone call I was filled with hope; for the time I was heard and I felt a lot better. Over the last six months I have cried, screamed, but I have laughed. First time in over two years. I have started to rediscover myself and even set two goals . They might take months to achieve but with this support I have faith in myself.  
I have also started to look at my own mental health, but without this service I would either be lost in the darkness with no way out or I might of continued to consider my own purpose in life.  
I am so very thankful and I owe so much.","4","Care Opinion","Care Opinion - Q1",274
"cf","Care received","Carer support","These classes have been great and both me and my daughter have looked forward to each class. I have learned so many skills that I can use moving forward.","2","Care Opinion","Care Opinion - Q1",275
"ap","Access","Provision of services","I have come to this baby group every Tuesday since my daughter was 3 weeks old, she is 1 next week and it will be sad to leave. We have loved every session we attended. Carmen and Louise have made us feel so welcome&nbsp; and I now consider them a good friend. They have been helpful towards us whenever I have had worries about Scarlet and always made me feel better. They are funny and kind and it is a shame we will have to now move on to an older group. &nbsp;","3","Care Opinion","Care Opinion - Q1",276
"cr","Care received","Rules/approach to care","The sessions have been very good. &nbsp; As Dawn brings a variety of different things every week it's really helped my son engage in talking more. &nbsp; I now have changed the way I talk to my son, as Dawn has given me a good understanding of how I can give him more words and idea's of how to use toys and books to help his speech.","2","Care Opinion","Care Opinion - Q1",277
"ss","Staff","Staff: General","To all the nurses, thank you for everything.","2","Care Opinion","Care Opinion - Q1",278
"sa","Staff","Attitude Of Staff","To all the wonderful people who have been so kind and patient with me during 2017. &nbsp; You are all very much appreciated. &nbsp; Thank you.","3","Care Opinion","Care Opinion - Q1",279
"cs","Care received","Advice and support","Thank you for the help and care you have all given us. &nbsp; Wishing you all a Happy Christmas and a Good New Year. &nbsp;","2","Care Opinion","Care Opinion - Q1",280
"co","Care received","1-2-1 care/Time spent with service user","Thank you all for the excellent attention you give.","2","Care Opinion","Care Opinion - Q1",281
"sa","Staff","Attitude Of Staff","Jo please pass on my thanks to all the nurses, they have all been lovely and helpful with the care of my late father. Thank you","3","Care Opinion","Care Opinion - Q1",282
"cs","Care received","Advice and support","Thank all the nurses for the support and understanding&nbsp; to my late mother and myself.","2","Care Opinion","Care Opinion - Q1",283
"wa","Access","Time spent waiting for first appt/referral/service","I was referred to the Nottingham gender clinic in April 2016 at that time I was told that the waiting time was one year just before the year was up I contracted the gender clinic to be informed that the waiting time was now TWO years with no explanation I have been waiting now 22 months when will I get my first appointment I am 69 years old and just want the nightmare that I am living to stop","-3","Care Opinion","Care Opinion - Q1",284
"cs","Care received","Advice and support","I have worked voluntary for Sure start Ashfield North West Team for several months.  
I have now found work as a Teaching Assistant with a local agency and hope to find a permanent placement in a primary or nursery school in the near future.  
If it weren't for my time at New woods i don't think i would be where i am now. Despite not being with New woods for too long, i feel i gained valuable experience during my time there, both with the children, their families and the staff. All staff were very helpful and friendly and provided a comfortable and safe environment to work in. I was made to feel welcome and Jayne especially gave me very helpful advice and wanted the best for my future, as well as providing employment references for me.  
I couldn't ask for more in a voluntary placement and i think a lot of new woods and the staff who run it.  
","3","Care Opinion","Care Opinion - Q1",285
"wa","Access","Time spent waiting for first appt/referral/service","I had a severe mental health relapse exacerbated by a heart condition and was awaiting surgery, my physical health was really poor and I struggled with exhaustion and breathlessness as well as constant erratic heart beats.  
I have been under mental health services before and was diagnosed with Bipolar Disorder many years ago, on this occasion I was referred via occupational health and my GP just a day of so before Christmas 2016 with severe negative thoughts, I received a call the next day to provide phone support over the Christmas period, knowing it was there helped and if I hadn't known I was able to use it I would not be here now. In the new year I was assessed in Beeston and allocated Dave to see. At first it seemed a never ending battle to prevent myself from leaving my home and not returning ever, but, I self managed using the self care I knew could help, simple things such as waiting and not acting on impulse and gradually achieving small goals. Dave always offered words of hope and even when it seemed I was too low to listen they did sink in. Dr Fahy wrote a letter to my employer explaining that my cardiac condition once fixed would ease the mental relapse and after surgery and being back at work 4 1/2 months now and seeing another Christmas she was right. Now I have a fixed heart which had previously been in decline for many years before diagnosis making a massive turn around to my mental health.  
A really big thank you to Broxtowe and Hucknall CMHT, I am now discharged and from the abyss of a year ago have made a total turn around.","3","Care Opinion","Care Opinion - Q1",286
"dp","Dignity","Involvement: Of Service Users/Patients","I feel involved in my care plan here at Wathwood hospital and they do take the time it needs to make sure I am up to date with everything. My Named Nurse does take time out so I can fill questionnaires out about how it feels to be in hospital. I would like to see more activities here as it is boring sometimes. I do like to go swimming and I like the Library and the DVDs","2","Care Opinion","Care Opinion - Q1",287
"xl","Miscellaneous","Leave (under MHA)","I wanted to say it is nice to have Leave to work in the Horticulture area. I think I am in the right place to help with my Illnesses as I don't think I was supported well when I was in the community by Mental Health Teams. Not great at All in the community. I would keep Wathwood just as it is. Thank you.","1","Care Opinion","Care Opinion - Q1",288
"cs","Care received","Advice and support","I had premature twins. We left hospital after 3 months nearly in the neonatal unit we had such fantastic help in there and since we have left we have been visiting little senses in Beeston the support has been invaluable. The help especially Tracey has supported us with advice and help that we have been unable to get elsewhere as our journey has been unique to most normally births and journeys sometimes it is difficult to get the help we need whereas coming to this group there are many people that have been through a similar journey. Also leaving the hospital can be scary as you are on your own and this is a good connection.","3","Care Opinion","Care Opinion - Q1",289
"cf","Care received","Carer support","I've been attending little senses since my little boy was 3 months old. This service has provided me with amazing support in every aspect. My little boy was born extremely premature at 27 weeks gestation and spent 10 weeks on the NICU where we met Tracy she provided us with fantastic support.","3","Care Opinion","Care Opinion - Q1",290
"cs","Care received","Advice and support","I met Tracy in neonatal and she really supported me when she came into the unit on a Wednesday, I was in their for months and always went to the coffee mornings for a chat, it made me feel a bit normal for a while as I found neonatal quite isolating. When I was discharged I still stayed in contact as a support link until my twins were well enough to come to little senses. I come to little senses every Friday and it gives me something to look forward to as I find it hard to get out and about. Tracy is also my family support worker and is helping me with feeding and getting out and about as I don't have much confidence. I feel at ease and know I can talk to her and she is always at the other end of the phone for help and support. I also visit the sensory room at chillwell a few times a week and the staff always help me in and out of the car and make me feel so welcome. I know I can ask for help or just a chat if I'm feeling a little down. I'm not sure what I would do without the sure start team as they are my main support link particularly Tracy. Thank you to all of you","3","Care Opinion","Care Opinion - Q1",291
"ca","Care received","Activities","Hi I just wanted to let you know that the Gospel Choir is amazing. I don't know what it is but they make me listen, i am entranced, captivated in their group. It makes me think of my own life and how i know i can change things in my own life.  
Its about making the right choices. They have really touched me and connected to my heart and sole. I think they were rushed a little hard and we did not have enough time. we could listen to them for an hour. when they come back in the summer please don't make it in the daytime as on Thursdays it is shopping for the woman's service and people really do want to come.  
Again a huge thanks for a brilliant Night.  
Topaz ward Rampton","1","Care Opinion","Care Opinion - Q1",292
"xe","Miscellaneous","Everything was good/bad","My sister and I were very pleased with the excellent care that our mother received at Lings Bar.
This review is long overdue as we are talking about April and May 2017. From parking the car with no worry and charges to the pleasant reception ladies, the well kept grounds, lounges & the little restaurant and last and by no means least the excellent care that our mother received from the professor, the senior staff involved with our  mother and all the rest of the nursing staff, physiotherapists and auxiliary staff we couldn't have asked for better. Our mother sadly passed away but if it couldn't of been in her own home we couldn't have chosen a  better place. The staff realised she was nearing the end of her life and she was put into a lovely room  where  she could look out of the window and see the trees and the birds & the sunshine, she could have the flowers that she loved so  much and she could have  all of her family around her, even her two young great grandchildren were made very welcome. We could also play her Salvation Army music that meant so much to her  without interfering with anyone else.
Thank you all so much.","4","Care Opinion","Care Opinion - Q1",293
"ce","Care received","Emotional care","Challenges with school nursery not understanding how to deal with my boisterous 3 year old son. Every day it made me anxious to collect him and feel like I was somehow failing as a parent. Kaleigh in the sure start team worked with me to put my mind at ease and give me great useful tips/advice/resources to give me back my confidence and take control of the situation.","2","Care Opinion","Care Opinion - Q1",294
"eq","Environment/ facilities","Facilities/equipment","I did not know that the day care services have been changed. I have noticed the DRC ( Dimond resource Centre ) has been open more. I would like to see more bean bags in use. We have not used the Wii recently, apparently there is something wrong with it. More DVDs would be good. I would like to see more celebrations for other cultures and beliefs. we could celebrate Divali for example. I feel absolutely supported by the staff on the DRC. They play games with me, they talk to me nicely, we have a laugh. they have a good supply of food and drink. breakfast club was good with bacon and croissants- that was a 1st. I like going over to the DRC","-1","Care Opinion","Care Opinion - Q1",295
"sa","Staff","Attitude Of Staff","Just a big thank you Gemma for your help, kindness and above all professionalism. We will miss you but never forget you.  
All our love","3","Care Opinion","Care Opinion - Q1",296
"ap","Access","Provision of services","The DRC. (Diamond resource centre) is an excellent place. It gives us time to get off the ward.  
There’s a Gym, snacks and pop are available while you watch films. Socializing is possible. So we can meet friends and catch up. It gives us time with different Staff. We chat with them and it’s time to enjoy a different environment  
It is disappointing when the DRC sessions have to be postponed because Staff have to be utilized on the wards, especially for People in segregation.  
Special events like a moving on party would be good where we can mix with friends from the other wards which I think is good for us.","1","Care Opinion","Care Opinion - Q1",297
"ct","Care received","Therapies","At the Dimond Resource centre (DRC) some things are good and others not so good. TED Therapy does not have enough group time. I don't think there are enough non toll sessions off the ward.  
If they could provide more sessions that should improve things at the DRC.  
The events that are organised are ok. I do feel supported by the DRC staff. They help me and are alright with me.","-1","Care Opinion","Care Opinion - Q1",298
"sl","Staff","Staffing levels","I am on ward Emerald ward B.  Staff do come down to work with me but they often get called away. I do get quite a lot of imput from Staff and the Staff here are really good and they help us a lot.  
The past 3 days it has been fantastic.  I do think we need more people willing to come and work with me, and to work on the ward and be based on the ward. I would like to have definite times and continuity. I need more activities to keep me occupied. The Staff are doing a good job.
I would like to be able to shop, that is go to the shop and functions in a few months’ time. I have done some courses. I would like to do sign language and art. Ideally I would like to do courses twice a week at the DRC. Staff visit once a week and i feel supported they meet my needed  
","-2","Care Opinion","Care Opinion - Q1",299
