Date,Code1,Code2,Criticality,Please can you tell us why you gave this answer.
2020-06-09,SS,NA,2,Everyone has been so helpful and caring
2020-07-17,SS,CE,2,Everyone has been so helpful and helped me to keep my spirits up!
2020-07-24,CE,SA,3,Everyone has been so understanding and helpful with the added difficulty of the pandemic.
2020-08-19,SS,NA,3,Everyone has been wonderful
2020-06-03,SS,NA,3,Everyone has made our 4 month stay that little bit more bareable
2020-08-11,SS,NA,3,Everyone helpful
2020-07-28,SS,NA,3,Everyone here has been so kind and helpfull. Nothing too much trouble. I can’t thank them enough.
2020-07-16,SS,CO,4,Everyone is always so compassionate and caring.  Thank you to lovely auxiliary nurse and the SN * in the outpatients who helped me when I was faint yesterday and listened to me say I was sorry 3 million times.  Thank you to the Dr in the green scrubs in the outpatients that walked me to the toilet and back.   Thank you to the night staff who were brilliant and for getting me comfortable.   Thank you to The morning staff that are so smiley and caring and make going around the beds personal to each individual lady on the ward.  During these unprecedented times you are all absolutely amazing!!
2020-06-19,SS,NA,4,Everyone is amazing
2020-07-10,SP,SA,3,Everyone is efficient friendły and knowledgable
2020-06-19,SS,NA,2,Everyone is friendly
2020-06-25,SS,NA,2,Everyone is good
2020-08-07,SS,NA,2,Everyone is good
2020-07-21,SS,NA,2,Everyone is helpful and staff do all they can to help
2020-06-22,SA,CO,3,Everyone is kind and have time for me
2020-05-27,SS,NA,2,Everyone is lovely
2020-06-10,SS,NA,2,Everyone is really nice
2020-06-16,SA,SP,3,Everyone is so attentive and professional
2020-05-11,SA,CE,2,Everyone is so friendly and happy. Made me feel good all the time
2020-06-04,SA,NA,2,Everyone is so friendly and it’s nice to come
2020-06-04,SA,SP,2,Everyone is so helpful and efficient
2020-07-28,SA,NA,2,Everyone is so kind and can’t do enough for you
2020-05-19,SA,DS,4,Everyone is so kind and caring it makes you feel safe.
2020-06-16,SA,NA,2,Everyone is so lovely and caring
2020-06-10,SA,NA,3,Everyone is very friendly and is always happy to help
2020-06-04,SA,EQ,1,Everyone is very nice and there’s a bed for me to lie down
2020-08-12,SA,NA,1,Everyone kind
2020-07-17,SP,NA,2,Everyone knows what they are doing
2020-06-18,SA,NA,2,Everyone looked after me
2020-06-29,SA,NA,2,Everyone personally friendly
2020-04-22,SA,MI,3,Everyone pleased to help. Explained everything very clearly.
2020-08-14,SA,NA,2,Everyone so helpful and kind
2020-07-10,CC,NA,2,Everyone took very good care of me.
2020-05-11,SA,NA,2,Everyone very friendly
2020-07-16,SA,NA,2,Everyone very friendly and helpful
2020-07-27,SA,NA,2,"Everyone very helpful , tentative, caring"
2020-08-12,SA,NA,2,Everyone very nice
2020-08-03,SS,NA,3,Everyone was amazing
2020-06-25,SS,NA,2,Everyone was brilliant
2020-07-09,SA,CE,2,"Everyone was cheerful,helpful,confident and put you at ease."
2020-07-03,SA,NA,2,Everyone was courteous and caring.
2020-05-28,SA,NA,2,Everyone was friendly
2020-08-05,SA,DA,2,"Everyone was friendly and caring. They showed empathy and kindness, which is what was needed today."
2020-07-08,SS,NA,3,Everyone was great
2020-07-14,SS,NA,3,Everyone was great
2020-08-05,SS,NA,3,Everyone was great
2020-08-12,SS,NA,3,Everyone was great
2020-07-16,SS,CE,3,Everyone was helpful I enjoyed my stay
2020-07-27,MI,SA,3,Everyone was informative friendly and helpful.
2020-06-23,SS,CE,3,Everyone was kind and caring I was put at ease by all you’re wonderfull team thankyou
2020-06-30,SA,NA,3,Everyone was lovely
2020-07-02,SA,NA,3,Everyone was nice
2020-07-14,SA,MI,3,Everyone was nice answered questions where they could and made me feel comfortable
2020-06-15,SA,MM,3,Everyone was nice who I speak to and caring
2020-06-25,SA,CE,3,Everyone was really kind and helpful and put your mind at rest
2020-06-01,SA,CC,4,"Everyone was really kind, friendly and informative. Outstanding service. Thank you to everyone in children’s a+e, ambulatory centre, max fax and theatres. Especially * a+e and * in ambulatory care."
2020-08-14,SA,NA,3,Everyone was really nice and kind
2020-05-06,SA,NA,3,Everyone was so kind and understanding Nothing was too much trouble
2020-08-10,SA,SP,2,Everyone was so nice and professional.
2020-08-06,SA,NA,2,Everyone was so nice. Everyone has been so kind at a time I have been so upset and scared despite being in the midst of a pandemic so thank you all for your kindness and support
2020-08-07,SA,NA,2,"Everyone was very friendly ,caring and gentle"
2020-06-19,SP,CC,3,Everyone was very good the the care was excellent.
2020-07-07,SA,NA,2,Everyone was very helpful
2020-08-10,SA,MI,3,Everyone was very helpful and kept me updated at all times
2020-06-17,SA,DS,3,Everyone was very helpful kind.Made me feel very safe
2020-08-13,SA,NA,2,Everyone was very kind
2020-07-24,SA,NA,2,Everyone was very kind to me
2020-06-08,SA,MI,2,Everyone was very nice and explain everything to me about my health condition
2020-07-13,SA,CR,3,Everyone was very nice😁 it all went very well
2020-06-15,SA,NA,2,Everyone was very supportive and caring.
2020-06-30,SA,NA,2,Everyone was wonderful
2020-05-29,SA,NA,2,Everyone were extremely helpful and friendly
2020-07-24,SA,NA,2,Everyone wonderful
2020-06-25,SP,NA,3,Everyone works so hard but are always friendly and kind to patients. Never see them without a smile
2020-06-12,SS,WA,3,"Everyone, the volunteer, the reception, the nurses, doctors and surgeon were most helpful, efficient and cheerful in spite of of the pressures they are under at this time. There was little waiting time and excellent care after the operation until i was ready to go home"
2020-07-13,SA,NA,2,Everyone. Been. Helpful
2020-06-26,SP,NA,2,Everyone’s been professional
2020-07-01,XE,NA,3,Everything
2020-07-21,XE,NA,3,Everything
2020-04-06,EC,MI,3,Everything clean  Staff lovely and informative
2020-06-22,XE,NA,3,Everything excellent
2020-08-26,XE,NA,3,Everything fine
2020-05-26,XE,NA,3,Everything good
2020-05-14,CC,NA,3,Everything great
2020-07-30,XE,NA,3,Everything great
2020-04-14,CC,EF,2,"Everything has been ok since I got here, I had the best night sleep. Meals are good. Nursing is brilliant."
2020-07-07,CE,DA,2,Everything is calm and made me feel safe
2020-06-26,XE,NA,3,Everything is excellent
2020-07-24,MI,CO,4,Everything is explained to me and nurses have the time to sit and chat so I don’t feel scared
2020-06-04,XE,NA,3,Everything is going right
2020-06-26,XE,NA,3,Everything is going smoothly and calmly
2020-07-20,XE,NA,3,"Everything is good but * hand very well , I think she is the best."
2020-06-26,XE,NA,3,Everything is marvellous
2020-07-07,XE,NA,3,Everything is very very
2020-06-26,XE,NA,2,Everything is working out right
2020-07-17,XE,NA,3,Everything just well everyone look after me
2020-05-29,XE,NA,2,Everything ok
2020-08-26,XE,NA,3,Everything perfect
2020-06-02,XE,NA,3,Everything very good
2020-08-13,XE,NA,3,"Everything was amazing nothing was too much trouble , gold star for you all"
2020-08-05,XE,NA,3,Everything was brilliant
2020-08-19,XE,NA,3,Everything was done fine very happy
2020-07-14,XE,NA,3,Everything was excellent
2020-07-29,XE,NA,3,Everything was excellent
2020-08-05,XE,NA,3,Everything was excellent
2020-08-26,XE,NA,3,Everything was excellent
2020-08-18,XE,NA,3,Everything was excellent so I couldn’t fault them
2020-06-04,MI,NA,2,Everything was explained well
2020-07-21,MI,CO,4,Everything was explained well. The nurse managed to get the surgeon back out from theatre to speak to me when I raised the fact that I still had some concerns.
2020-05-19,CC,NA,4,Everything was fantastic
2020-05-19,CC,SS,4,Everything was fantastic well done nurses
2020-05-20,CC,SA,3,Everything was fantastic well done nurses
2020-05-19,CC,NA,4,Everything was fantastic well done to you all
2020-04-03,XE,NA,3,Everything was fine during my stay
2020-06-01,XE,NA,3,Everything was fine.
2020-04-14,XE,NA,3,Everything was good
2020-04-20,XE,NA,3,Everything was good
2020-06-19,XE,NA,3,Everything was good
2020-08-26,XE,NA,3,Everything was good
2020-05-26,XE,NA,3,Everything was great
2020-06-10,XE,CE,3,Everything was great the team really helped me to feel positive
2020-06-25,XE,NA,3,Everything was very good
2020-08-03,XE,NA,3,Everything was very good
2020-06-25,SP,CO,2,Everything was well organised and staff was fantastic always checking in on you
2020-06-30,XE,NA,3,Everything went well
2020-04-06,CC,SS,3,Everything went well. Staff were fantastic as usual
2020-05-11,CC,NA,3,"Everything’s done for me and I was well looked after,"
2020-06-01,CC,NA,3,Excellent
2020-06-01,CC,NA,3,Excellent
2020-06-17,CC,NA,3,Excellent
2020-07-30,CC,NA,3,Excellent
2020-06-08,CC,SS,3,"Excellent ,* was first class always"
2020-05-26,CC,NA,3,Excellent All round
2020-07-03,CC,NA,3,Excellent as always
2020-07-06,CC,NA,3,Excellent as always
2020-04-03,CR,MI,3,Excellent attentive service care and information
2020-05-14,CC,NA,3,Excellent care
2020-05-14,CC,NA,3,Excellent care
2020-05-26,CC,NA,3,Excellent care
2020-06-01,CC,NA,3,Excellent care
2020-06-04,CC,NA,3,Excellent care
2020-06-12,CC,NA,3,Excellent care
2020-06-15,CC,NA,3,Excellent care
2020-06-19,CC,NA,3,Excellent care
2020-06-23,CC,NA,3,Excellent care
2020-06-29,CC,NA,3,Excellent care
2020-06-30,CC,NA,3,Excellent care
2020-07-03,CC,NA,3,Excellent care
2020-07-09,CC,NA,3,Excellent care
2020-07-16,CC,NA,3,Excellent care
2020-07-16,CC,NA,3,Excellent care
2020-07-17,CC,NA,3,Excellent care
2020-07-27,CC,NA,3,Excellent care
2020-07-28,CC,NA,3,Excellent care
2020-06-10,CC,NA,3,Excellent care  Thank you
2020-08-12,CC,NA,3,Excellent care all round.
2020-07-13,CC,EE,3,Excellent care and a pleasant ward to stay on.
2020-07-15,CC,MM,3,Excellent care and attention Care and took time to talk to us * was very kind to both of us
2020-07-09,CC,CS,3,Excellent care and support
2020-07-03,CC,CE,4,"Excellent care and support from all multidisciplinary team who took care of me.everyone were happy to help and cheer me up when I was admitted to the ward and offered me plenty of support during my stay during the night and day too.Ward is well organised ,kept clean and tidy with plenty of members of staff who are working extremely hard to give excellent care and advice or patients and each other too.Food options are perfect too and kitchen staff are amazing as well.Thank you very much for all your hard work and making my stay less stressful and for making me more confident with daily tasks and for including me with a daily care planning .You are all amazing and fully recommended to my friends and family if similar treatment will be needed in the future.Happy to meet you all and will always keep you In my heart as you are my NHS heroes.Take care and keep up with your great and hard work ."
2020-04-17,CC,NA,3,Excellent care from everyone given under difficult conditions.
2020-06-04,XE,NA,3,Excellent care from professional staff who made everything for the patients.  Very cheerful
2020-07-31,XE,NA,3,Excellent care from start to finish
2020-07-27,CC,NA,4,Excellent care from the whole team.
2020-08-07,CC,NA,3,Excellent care had much confidence in them
2020-07-15,CC,NA,3,Excellent care received
2020-08-13,CC,SS,3,Excellent care shown by all members of staff.
2020-07-15,CC,NA,3,Excellent care thank u
2020-08-10,CC,CS,3,"Excellent care throughout, * and * very supportive"
2020-06-10,CC,SA,3,Excellent care with kind and caring staff
2020-07-13,CC,SA,3,"Excellent care, very friendly and kind."
2020-06-25,XE,DS,4,Excellent comittment to patient care and safety
2020-06-29,CR,SS,4,"Excellent experience- nurses brilliant, particularly *, I have nominated her for a Daisy award"
2020-07-20,XE,NA,3,Excellent hospital experience
2020-06-12,SS,NA,3,Excellent nurses and other very caring staff
2020-06-08,SS,NA,3,Excellent nurses.
2020-08-10,CC,TC,4,Excellent patient care as usual
2020-04-20,CC,NA,3,Excellent service
2020-07-24,CC,NA,3,Excellent service
2020-06-08,CC,NA,3,"Excellent service and the staff are just so kind and caring, they always go above and beyond."
2020-06-16,CC,NA,3,Excellent service and treatment
2020-05-29,CC,NA,3,Excellent service and well looked after
2020-08-10,CC,SP,3,"Excellent service, staff really care for the children and give them the time and support they need"
2020-08-18,CC,SS,4,Excellent service. Staff all superb. Can not thank you enough
2020-05-22,SS,NA,4,Excellent staff
2020-06-26,SS,NA,4,Excellent staff
2020-06-26,SS,NA,4,Excellent staff
2020-06-29,SS,NA,4,Excellent staff
2020-07-06,SS,NA,4,Excellent staff
2020-07-08,SS,NA,4,Excellent staff
2020-07-14,SS,NA,4,Excellent staff
2020-08-12,SS,NA,4,Excellent staff
2020-07-20,SS,NA,4,Excellent staff made my hospital experience enjoyable despite having a nasty leg infection.
2020-08-12,SS,NA,4,Excellent staff very friendly
2020-08-12,SP,SA,4,Excellent staff very helpful polite professional
2020-06-30,SP,NA,4,Excellent staff very professional
2020-07-02,SP,NA,4,Excellent staff very professional
2020-05-21,SP,CS,4,Excellent staff who are well informed and supportive
2020-06-29,SS,NA,4,"Excellent staff, thanks for always being kind and caring. Nothing is ever too much"
2020-06-19,SS,NA,4,Excellent treatment and very welcoming
2020-07-31,CC,NA,4,Excellent ward
2020-08-10,CC,CE,4,Excellent ward always felt safe and looked after
2020-04-06,CC,NA,3,Excellent ward and care given
2020-08-05,CC,SS,4,Excellent ward and staff
2020-08-10,CA,NA,3,Excellent warm caring staff
2020-05-07,CC,SA,3,"Excellent, kind & care."
2020-07-30,SA,CS,NA,Excellent. Lovely staff. Very supportive.
2020-06-30,CC,NA,3,Exceptional care
2020-07-06,DA,NA,3,Exceptional experience- never feel rushed or unimportant
2020-08-03,SS,CR,4,"Exceptional staff warm,friendly.Gave me all the information I needed for my child and took good care of her and me .Massive thank you"
2020-07-28,MI,NA,2,Explain what is happening when doctors talk to each other
2020-06-01,MI,CR,2,Explained everything and was put at ease
2020-06-25,CC,NA,3,Extremely happy with my care
2020-08-10,CC,NA,3,Fabulous here
2020-07-17,CC,NA,3,Fantastic
2020-07-01,SA,CC,3,Fantastic and caring staff. Couldn’t ask for more.x
2020-06-01,CC,NA,4,Fantastic care
2020-07-20,CC,NA,4,Fantastic care
2020-07-14,CC,NA,4,Fantastic care l didn’t want to leave
2020-08-07,SS,NA,4,Fantastic nursing staff  I have really enjoyed my stay  You are all very kind
2020-05-27,CC,NA,4,Fantastic service from all staff thank you all
2020-08-07,SS,NA,4,Fantastic staff
2020-08-06,SS,NA,4,Fantastic staff all very polite helpful and perfect. Couldn’t ask for better. They’re all angels
2020-06-15,SS,CC,4,"Fantastic staff and treatment, above and beyond the call of duty"
2020-07-13,SS,NA,4,Fantastic staff couldn’t ask for more
2020-05-22,SS,NA,3,"Fantastic staff, girls did everything possible"
2020-06-26,SS,NA,4,"Fantastic staff, very good care, everybody went above and beyond with the care and friendliness"
2020-07-06,WB,SA,2,Fast treatment and friendly staff
2020-05-11,EC,MI,3,Feel catered for in a regularly cleaned and safe environment. The staff are always friendly and explain what’s happening.
2020-06-03,EC,SA,3,Feel looked after and that the staff care
2020-08-10,DS,NA,3,Feel safe caring staff whole unit seems well managed
2020-07-16,CE,NA,2,Felt looked after
2020-08-12,SA,NA,3,Felt re assured by all staff all the time
2020-08-11,DS,NA,2,Felt safe
2020-07-16,DS,ML,3,Felt safe and listened to at all times
2020-07-24,DS,NA,2,Felt safe and well
2020-08-05,DS,SA,2,Felt safe during covid. Helpful staff.
2020-06-29,CS,NA,1,"Felt the staff were supportive, however never knew their names."
2020-07-16,DS,SS,3,Felt very safe with the staff looking after me Very good staff
2020-08-14,CC,NA,2,Felt well looked after
2020-08-14,CC,NA,2,Felt well looked after and cared for
2020-08-03,CC,NA,2,First class care and treatment
2020-06-22,CC,NA,2,First class care from start to finish
2020-07-21,XX,NA,0,First time in hospital didn’t know what to expect
2020-06-12,CC,CF,3,"Five star treatment all the way staff very helpful  ,food excellent ,physio marvellous."
2020-08-21,CF,NA,1,Food
2020-06-04,CF,SA,2,Foods marvoulous and nice people
2020-07-10,CE,CC,4,For making this difficult time feel so relaxed in your care your all my angels.  Feeling truly blessed and lucky to have had the best care in the world.
2020-08-21,XE,NA,3,For me nothing
2020-07-10,CC,NA,2,For the care I received whist being an inpatient.
2020-08-13,SA,NA,2,Found the staff And patients very friendly and kind for most of the time
2020-08-13,SA,NA,2,Friendliness
2020-07-22,SA,CE,2,Friendliness of staff. When I’m feeling low staff cheer me up
2020-07-10,SA,NA,2,Friendly
2020-06-29,SA,SP,2,Friendly and capable
2020-06-04,SA,CC,2,Friendly and efficient service
2020-06-01,SA,NA,2,Friendly and helpful
2020-06-01,SA,NA,2,Friendly and kind
2020-07-30,SA,NA,2,Friendly great staff
2020-08-18,SP,CO,2,Friendly helpful professional staff. Always happy to help when needed and checked regularly on my daughter and on me
2020-06-04,SA,CS,2,Friendly helpful staff thank you for your support
2020-07-17,SA,NA,2,Friendly and helpful
2020-07-23,SA,NA,2,Friendly staff
2020-06-01,SA,NA,2,Friendly staff
2020-06-19,SA,NA,2,Friendly staff
2020-06-22,SA,NA,2,Friendly staff
2020-07-10,SA,NA,2,Friendly Staff
2020-07-13,SA,NA,2,Friendly staff
2020-08-07,SA,NA,2,Friendly staff
2020-08-07,SA,NA,2,Friendly staff
2020-06-30,SA,NA,2,Friendly staff and doctors
2020-07-27,SA,SP,2,Friendly staff and efficient as ever
2020-06-03,SA,NA,2,Friendly staff and everyone is happy
2020-06-16,SA,CE,3,Friendly staff and nurses. Helped me a lot whilst I was feeling scared.
2020-07-20,SA,NA,3,Friendly staff and were all excellent
2020-06-30,SA,NA,2,Friendly staff felt looked after
2020-06-01,SA,NA,2,Friendly staff makes a difference.
2020-08-13,SA,NA,2,Friendly staff very attentive and efficient
2020-04-06,SA,NA,2,Friendly staff very efficient
2020-07-17,SA,NA,3,Friendly staff very quiet just like staying in a premier inn in a 2 bedded room
2020-07-29,SA,NA,3,Friendly staff who care
2020-07-09,CR,SP,3,Friendly staff who kept me informed. Efficient processes and generally a high level of professionalism.
2020-08-06,SA,NA,2,"Friendly staff, good processes"
2020-07-24,SA,MI,2,"Friendly staff, kept fully informed, offered refreshments."
2020-05-19,SA,EC,3,Friendly staff. Just general cleanliness of ward and side room.
2020-05-06,SA,NA,2,Friendly staff. Very kind
2020-08-05,SA,MI,3,"Friendly, caring staff on every level. Informative and in depth explanation of procedure for my 4mth old son."
2020-08-07,SA,SP,2,"Friendly, professional staff."
2020-06-29,SA,CR,3,"Friendly, welcoming staff. Great with my son."
2020-07-06,SA,NA,2,"Friendly,comforting staff"
2020-06-08,ML,CP,2,From arrival to discharge I was not hanging around all nurses and doctors listen and did what they could to ease my symptoms
2020-04-06,SS,DA,4,"From day 1 starting at outpatients, all the staff have been incredible, supportive and been very helpful. I have been respected and felt dignified throughout my stay as an inpatient and nothing has been too much bother for anyone when I have asked for something/help. A very positive experience being in hospital, as they’re not the nicest of places to stay. but everyone has truly made it very comfortable"
2020-05-27,CC,NA,1,Generally very good
2020-06-04,EF,SS,1,Get a cup of tea and excellent staff
2020-08-10,CO,NA,1,Get on well wth the nurses
2020-05-27,CC,NA,4,Gold standard.
2020-06-01,CC,NA,1,Good
2020-07-28,CC,NA,1,Good
2020-08-12,CC,NA,1,Good
2020-08-12,CC,NA,1,Good
2020-08-05,CC,SA,1,Good and friendly ward
2020-08-10,CC,SP,2,Good and hard working staff
2020-06-15,CC,NA,1,Good care
2020-06-15,CC,NA,1,Good care
2020-06-15,CC,NA,1,Good care
2020-07-22,CC,NA,1,Good care
2020-08-05,CC,NA,1,Good care
2020-06-15,CC,SA,2,"Good care , lovely staff Always make me welcome. Always get me a hot drink"
2020-08-12,CC,SA,2,Good care always helpful
2020-07-16,CC,NA,1,Good care for myself
2020-06-15,CC,SA,2,Good care friendly staff
2020-08-03,CC,SA,2,Good care from staff
2020-08-10,CC,NA,1,Good care on the ward
2020-06-15,CC,NA,2,Good care. Well looked after.
2020-07-02,SA,NA,2,Good caring staff
2020-06-01,CC,NA,2,Good experience
2020-08-14,CC,NA,2,Good experience
2020-08-03,EF,SA,2,"Good food, friendly nurses and doctors. Very nice"
2020-07-09,CC,NA,1,Good Good service  Staff polite and helpful
2020-08-14,CC,NA,3,Good job all round.
2020-07-20,CC,NA,2,Good job well done
2020-08-27,CC,NA,2,Good job well done
2020-05-14,SS,NA,2,Good nurses on the ward.
2020-08-27,SS,EC,2,"Good nursing, good cleaning, very happy"
2020-05-26,CC,SP,3,Good patient care staff are lovely everyone was professional
2020-05-26,CC,NA,1,Good service
2020-05-29,CC,NA,1,Good service
2020-05-29,CC,NA,1,Good service
2020-06-01,CC,NA,1,Good service
2020-06-11,CC,NA,1,Good service
2020-07-16,CC,NA,1,Good service
2020-07-13,CC,NA,1,Good service all the time
2020-06-01,CC,NA,1,Good service and efficient
2020-06-08,EF,CP,2,"Good service,kept me fed and hydrated"
2020-06-26,SS,NA,1,Good staff
2020-07-03,SS,NA,1,Good staff
2020-08-03,SS,NA,1,Good staff
2020-08-13,SS,NA,1,Good staff
2020-06-08,SS,NA,3,Good team and good service
2020-06-19,EF,NA,1,Got a cup of tea
2020-07-17,CC,NA,1,Got looked after well
2020-08-14,CC,NA,2,Got me feeling very well
2020-06-15,CC,NA,2,Got me home quicker
2020-07-07,CS,NA,1,Got much reassurance from the ward
2020-06-01,DA,SS,3,"Got treated with dignity and care, all the staff went above and beyond."
2020-05-06,CC,NA,2,Got well look after when I. Was down about what I have been in
2020-05-26,CR,NA,1,Got what I came for
2020-06-15,CC,NA,3,Great care
2020-08-05,CC,NA,3,Great care
2020-06-15,CC,SP,3,"Great care , efficient nurse."
2020-05-06,CC,SA,3,Great care and made to feel comfortable during chemo
2020-06-04,CC,SA,3,"Great care, lovely staff"
2020-08-05,SS,NA,3,Great nurses
2020-06-22,CC,NA,3,Great service
2020-06-08,CC,SS,3,Great service and great staff
2020-07-06,CC,SA,3,Great service with a smile 😃
2020-05-14,SS,NA,3,Great staff
2020-07-14,SS,NA,3,Great staff
2020-07-16,SS,NA,3,Great staff
2020-06-01,SS,CC,3,Great staff and treatment
2020-08-05,SS,NA,3,Great staff very friendly and helpful
2020-05-06,SA,NA,2,"Great staff, thanks."
2020-07-07,CC,SA,3,Great standard of care and attention . Thank you
2020-05-19,SP,NA,3,Great team
2020-06-03,SS,NA,2,Great team
2020-06-10,SS,NA,2,Great team nothing too much trouble
2020-07-27,SS,NA,2,Great ward look after me lovely
2020-07-27,SA,NA,2,Happiness of staff
2020-05-27,SA,NA,2,Happy atmosphere and enjoy visiting unit
2020-06-19,SA,NA,2,Happy staff. Always helpful.👍
2020-06-26,CC,NA,2,Happy with all the care
2020-07-21,CC,NA,2,Happy with care
2020-05-19,SS,NA,3,Happy with nursing staff and awaiting dietician
2020-07-29,SA,NA,2,Happy with staff treated well
2020-06-29,SA,NA,2,Happy with the nurses.no problems
2020-05-27,SA,CO,3,Have a laugh when on unit. Staff easy to get on with.
2020-06-25,TC,SA,3,"have been coming for two years, thankful for everything everyone does and their kindness that they have shown me. Thank you to everyone"
2020-06-22,SA,NA,2,Have enjoyed my stay everyone who very friendly
2020-07-06,CC,NA,2,Have no complaints
2020-07-31,XX,NA,0,Have no experience of similar procedure
2020-07-13,EQ,NA,1,Having a private room helps...
2020-06-17,SA,NA,2,Helpful
2020-06-04,SA,NA,2,Helpful friendly staff
2020-06-15,SA,NA,2,Helpful kind staff
2020-06-16,SA,NA,2,Helpful staff
2020-07-17,SA,NA,2,Helpful staff
2020-04-16,SA,NA,2,Helpful staff.
2020-07-15,SS,CP,4,"Helpful,knowledgeable staff. Nothing too much trouble. Looked after both patient and parent. Lots provided to stimulate patient. Great facilities to hydrate and feed parents too . Leaving pain free,problem resolved.."
2020-07-10,DA,NA,2,Honesty
2020-08-28,EQ,NA,1,Hospital radio
2020-06-26,CE,SA,2,Hospitality is excellent and friendly
2020-06-26,SA,NA,2,Hospitality was excellent
2020-06-04,CE,NA,1,How I feel
2020-07-15,CC,SA,2,I always felt well cared for and looked after.  Very friendly staff
2020-06-05,CR,NA,1,I am a regular attender to respiratory ward. I needed a new machine to take back to Fernwood and there was a delay in staff at Fernwood having training. This made my stay in hospital longer than expected. The ward managed to arrange this so I could go home quickly
2020-05-22,SA,CC,4,I am being looked after by some lovely staff and being taken great care of.i don’t want to go home
2020-06-26,SS,CC,3,I am healed and all done by brilliant people
2020-07-22,CC,SA,2,I appreciate all the wonderful care staff provided
2020-07-24,XE,NA,3,I can’t think of anything that would of made my stay better .
2020-07-08,SS,NA,3,"I cannot fault the nursing teams on the ward, you are all exceptional"
2020-07-14,CC,NA,3,I could not have been treated better. Thank you
2020-05-22,CC,SP,4,I couldn’t ask for anything else the care I got was outstanding especially from * she was caring and informative everything you need in a traumatic place
2020-06-12,SS,NA,4,"I couldn’t ask for better care 😁 . Everyone was amazing, always helpful,friendly and passionate about their jobs. Thank you for looking after me in this very hard time xxx"
2020-07-21,CC,NA,3,"I couldn’t have had better care, thank you."
2020-06-01,CC,SS,4,"I couldn’t thank the hospital & staff enough, everything was perfect. I will be writing to the hospital to thank them"
2020-07-29,CP,NA,-3,I did not like the way the doctor examined me and told me that the pain was coming from my stomach muscles not my stomach so I asked to see another doctor.
2020-08-28,XX,NA,0,I didn’t really know why I was moved to this ward
2020-07-17,CR,DA,3,I didn’t see much of the ward and only the nurses that were taking care of me but I was treated with care and respect
2020-06-25,MI,NA,-2,I didn’t understand why I broke my ankle and people didn’t understand why I was asking them
2020-08-27,CC,NA,3,I do not know how the process could be improved. It worked well for me.
2020-08-27,CC,NA,3,I don’t think so at all
2020-08-19,CC,NA,3,I don’t think there is
2020-08-27,CC,NA,2,I don’t think there’s anything that could be done better
2020-08-21,CC,NA,4,I don’t think u could do anything better this place is amazing and friendly
2020-08-27,SS,NA,3,I don't think anyone of the team could have done better
2020-08-26,CR,EF,2,I expected I would have checked for Covid 19 before being admitted.  I wasn’t offered any lunch on the ward.
2020-08-12,SA,EF,2,"I feel like I’ve been looked after very well, especially by the nurses and staff. I have enjoyed the meals, they have been lovely, and I have been really well looked after by everyone thank you."
2020-08-05,CE,NA,1,I feel really good because everyone is funny
2020-06-16,SP,CE,2,I feel that staff really care about me
2020-06-19,CC,ML,2,I feel the NHS is excellent. All the staff listen to me and explain loads .
2020-06-26,DS,EC,2,I felt safe and looked after
2020-07-30,DS,EC,2,I felt safe and secure whilst on the ward.
2020-07-20,CE,SA,2,I felt very relaxed and happy with how all of the staff treated me. They were all very kind and very helpful with everything I needed.
2020-07-22,DS,EC,2,"I felt very safe on the ward, the staff were very kind"
2020-07-06,EC,DA,3,I felt well cared for and comfortable and able to ask questions. Also treated with respect and felt my age was also well considered by all staff both mentally and physically.
2020-06-29,SP,SA,3,"I found all of the staff to be very professional ,caring and attentive."
2020-07-16,SA,NA,2,I found all the staff very accommodating and approachable And very friendly
2020-07-20,CP,NA,-3,I found everyone helpful and attentive but so far I have been disappointed with the level of pain in a related joint and the refusal to X-ray the joint concerned.  I have to now start again via my GP!
2020-06-18,SS,EC,3,"I found the staff to be very pleasent, and helpful and overall care was fantastic. The ward was always clean and very well maintained throughout my stay.  Thank god for the NHS!"
2020-07-31,EF,NA,1,I got ice cream 🍦
2020-07-06,WA,NA,2,"I got seen before my appointment time, thanks for being so quick"
2020-07-20,WA,CC,2,I got seen straight away and treated
2020-06-16,CC,NA,1,I had a good experience in the whole time I was here.
2020-06-11,SP,SA,3,I had confidence in all of the staff. Everyone was professional and caring.
2020-07-24,DP,MI,3,I had to ask a couple of staff their name  I was informed of the plan frequently and involved in it
2020-07-08,MI,DS,3,"I have answers when I need them, everyone is so helpful and make me feel safe"
2020-07-02,CR,DA,3,I have been before and I find the service and politeness outstanding.
2020-07-02,SS,NA,3,I have been here over two years now. The staff have become family to me. I can’t fault anything they have done for me and my family
2020-06-12,SS,NA,3,I have been in hospital for a month- the staff couldn’t have been betteR
2020-04-02,CC,SA,3,I have been looked after so well and nothing is to much trouble for any of the nurses
2020-05-21,CC,NA,3,I have been looked after so well thank you
2020-06-22,CC,NA,3,I have been looked after very well
2020-07-01,CR,EF,2,I have been treated extremely well and I am very impressed with the food and the way the nurses are with me thank you all
2020-06-05,CR,NA,2,I have been very happy with my care.
2020-07-24,CR,NA,2,I have been very happy with the care I’ve received
2020-06-12,CR,NA,2,I have been well looked after
2020-06-29,CR,NA,2,I have been well looked after
2020-07-10,CR,SP,3,"I have been well looked after, particularly by my nurse of the past few days"
2020-07-23,CC,NA,2,I have had a lovely stay on this ward.
