"code","target","feedback","criticality","trust","question"
"sa","Staff","All the staff that we have had contact with have been really pleasant. Ringing in can’t help enough and on previous visits to patient, they voiced themselves how lovely the staff were and how well they are cared for.","3","Trust A","Trust A - Q2"
"sa","Staff","Hayley was kind and patient. I felt that I mattered, and she involved me in decision making.","3","Trust A","Trust A - Q2"
"da","Dignity","There was always someone to speak to, plus I met some good people in there. No one judges you as we all have a different, real life, story to tell. The meals were nice, and rooms clean.","4","Trust A","Trust A - Q2"
"sa","Staff","The staff are friendly and helpful.","3","Trust A","Trust A - Q2"
"ss","Staff","The ward staff have been amazing with me while I’ve have stayed on the ward. They are doing a great job with the care with patients on the ward. The atmosphere on the ward between staff and patients is very relaxed and it makes so much of a difference in your stay, and helps you get better. I have worked closely with Doctor DC and the man is amazing. He does his job and is so easy to talk too. The ward has helped me so much.","4","Trust A","Trust A - Q2"
"sp","Staff","A number of things were good:   I was impressed by the 'technical' understanding of the situation I am in, and I was impressed with the clearly demonstrated knowledge and understanding of how my mental illness affects my physiology, and from a biological perspective how my physical well being and my mental well being are related to each other. I was also impressed by the range of suggestions and practical (not theoretical) things that might help me.  Above all, I was impressed and extremely grateful for the kindness, understanding and sensitivity that was show towards me. Perhaps one might expect this to be an obvious base point and should not be considered exceptional, unfortunately my experience with other services elsewhere has not had these features.","4","Trust A","Trust A - Q2"
"mi","Communication","Everything was explained in detail.","3","Trust A","Trust A - Q2"
"ce","Care received","Helping me to be calmer.","3","Trust A","Trust A - Q2"
"ce","Care received","The initial set up accessing the programme was straight forward. The Consultation made me feel at ease as I was very anxious taking part in the programme but I was able to talk at my own pace and was not forced to answer every question if I didn't feel comfortable. The information I received and suggestions has helped me to look at different strategies which could help my wellbeing and anxiety by using some of the materials and writing down my thoughts. As well as reflecting on periods which made me happy and not always negative.","3","Trust A","Trust A - Q2"
"ce","Care received","Being able to discuss feelings, realising that your not alone and how to try and help yourself. Understanding worry and anxiety and the causes helps to get resolved and treatment.","4","Trust A","Trust A - Q2"
"mi","Communication","Has given me a much better insight on how to manage my type 2 diabetes.","3","Trust A","Trust A - Q2"
"mi","Communication","Good information on different ways of coping with diabetes.","3","Trust A","Trust A - Q2"
"ss","Staff","Only a handful of staff are helpful and supportive, others don't care about you.","2","Trust A","Trust A - Q2"
"sp","Staff","I had been experiencing Tendonitis for six month following stepping off a ladder incorrectly. However following treatment by a Chiropractor as we entered lockdown their services were suspended. I decided to make a self referral to the Physiotherapy Department and within a couple of weeks I was contacted by Adrian via a telephone consultation. Adrian provided excellent advice following an in depth consultation to establish the problems I was experiencing with my tendon. Although I had been following a exercise regime from another NHS Trust found on line, several segments of the routines were unsuitable for my particularly condition. In consultation with Adrian I commenced a series of exercises to enable my injury to gain the strength and mobility to aid my movement mainly during walking the dog and other activities. Although the tendon became quite sore at times, when completing the exercises, I slowly began to appreciate the support from Adrian and the healing process was very evident. To provide the consultation from Adrian during a pandemic I would imagine without a hands on approach clearly was very problematic for a physiotherapist. However following his expert knowledge and guidance, I am extremely grateful for his professional approach in providing the treatment to aid my mobility.","4","Trust A","Trust A - Q2"
"ce","Care received","Helping me find a clearer understanding of my issues.","3","Trust A","Trust A - Q2"
"ss","Staff","I was made very welcome. If I ask questions, all staff found out the answers promptly. Ali the environmental coordinator has been a lifeline, fantastic support. On some days without her, I’d have gone home and sobbed. Sophie and Bryony were very professional and caring towards my relative, above and beyond. Nora great contact and always found me the information I need.","4","Trust A","Trust A - Q2"
"sp","Staff","Absolutely nothing 100% perfection. The speed and dedication of staff especially KATIE. Without your help my mother would have suffered greatly. Your quick action and reaction KATIE and others helped us get through the hardest of times, due to the actions of a so called “ care agency”. We could not have done it without you. My Brothers and I want to say THANK YOU. You're all a great asset to the NHS and we are pleased to have met you.","4","Trust A","Trust A - Q2"
"cp","Care received","The detox.","2","Trust A","Trust A - Q2"
"ce","Care received","Associating with staff and patients.","3","Trust A","Trust A - Q2"
"ap","Access","The full package was offered.","2","Trust A","Trust A - Q2"
"wa","Access","Help came quickly and kindly. Due to the COVID-19 situation you are doing really well.","2","Trust A","Trust A - Q2"
"sa","Staff","Always kind and responsive. The reason I put fair, is nothing related to the doctor, but my own battle and health problem. Plus it is complex and the doctors are not miracle workers or God, just human.","1","Trust A","Trust A - Q2"
"ss","Staff","They are amazing staff couldn’t do enough for you.","4","Trust A","Trust A - Q2"
"ss","Staff","They are great at what they do. Staff helped me a lot and got me a place to live.","4","Trust A","Trust A - Q2"
"cc","Care received","The care I have had has been excellent. Walks, enjoyed getting out for fresh air. Laughs from the team, made me feel comfortable.","3","Trust A","Trust A - Q2"
"ti","Transition/coordination","The collection to despatch was very well organised. I was confident of the treatment and relaxed due to the care and communication given to me throughout.","3","Trust A","Trust A - Q2"
"mi","Communication","Explained things well so my son understood","3","Trust A","Trust A - Q2"
"cc","Care received","Care was good","1","Trust A","Trust A - Q2"
"sa","Staff","All ladies are friendly and kind. Their help has been tremendous.","3","Trust A","Trust A - Q2"
"co","Care received","Took time to reassure and explain","3","Trust A","Trust A - Q2"
"cf","Care received","Carer Support Group has been a life saver during Covid. The company stopped my loneliness","4","Trust A","Trust A - Q2"
"ca","Care received","All the activities have been amazing, especially the gardens, Brunch Club & relaxation. Everything has helped me be positive and have completely different outlook on life. I even love colouring now which I thought as never in a million years. Everything was fantastic, thank you so much xx","3","Trust A","Trust A - Q2"
"xl","Miscellaneous","It was good to get off the ward a lot & do some activities. The Brunch club & relaxation room helped a lot & doing some CBT work also","4","Trust A","Trust A - Q2"
"ss","Staff","Andrea & Nicky - great team. 2 staff better","4","Trust A","Trust A - Q2"
"sp","Staff","I am very grateful to Mr X, the occupational therapist (Byron House), he put Mum at ease the moment he came into our home. He is a ? & calm person who listened to all my concerns about mum's alzheimers & was very helpful with practical advice & helped me on a number of occasions - with decision making to help mum regarding medication & daily needs","4","Trust A","Trust A - Q2"
"mi","Communication","Everything, I was very well informed before and during the operation.  The care was superb, such  a caring and happy team","3","Trust A","Trust A - Q2"
"ce","Care received","Talk to me, got me talking. ","3","Trust A","Trust A - Q2"
"sp","Staff","Everyone is doing their best","2","Trust A","Trust A - Q2"
"xe","Miscellaneous","Everything. You're doing a great job","4","Trust A","Trust A - Q2"
"da","Dignity","Staff manners & help but feel they work long hours & are underpaid ","3","Trust A","Trust A - Q2"
"cs","Care received","To have support","3","Trust A","Trust A - Q2"
"sp","Staff","Dr x was a very kind & understanding listener who helped me find the right medication without pushing it too far & helped me understand how it worked. He explains things very clearly","4","Trust A","Trust A - Q2"
"ce","Care received","I am still lonely & don't know what to do","3","Trust A","Trust A - Q2"
"ds","Dignity","They made me feel safe & sure of what was happening","4","Trust A","Trust A - Q2"
"cs","Care received","Kerry was overall very good & provided me with a great level of support. She listened to how I felt & understood me. Because she understood she was able to provide me with care, support & techniques that were very personal to me","4","Trust A","Trust A - Q2"
"sa","Staff","Pleasant friendly service","2","Trust A","Trust A - Q2"
"cc","Care received","Overall Crisis Team has improved in last few years, on the whole much better. ","1","Trust A","Trust A - Q2"
"ce","Care received","Very welcoming & very private. Would like it to stay in Broad St building","3","Trust A","Trust A - Q2"
"cs","Care received","Excellent contact and superb support. I was dealt with in a very professional manner throughout.","4","Trust A","Trust A - Q2"
"ss","Staff","The nurses are always there to give you medication when you need it the most. ","3","Trust A","Trust A - Q2"
"sa","Staff","Very good female staff, they always give you time and put in more effort than male staff.","4","Trust A","Trust A - Q2"
"ap","Access","I was taken aback when my psychiatrist was able to see me a lot sooner at a time of crisis.  This had never happened before. ","4","Trust A","Trust A - Q2"
"sa","Staff","Always having time to be there.  
Enjoyed the food. 
Staff always friendly & approachable. ","3","Trust A","Trust A - Q2"
"ml","Communication","Provide someone who will listen to what you are saying not matter haw silly or bad you think it sounds.","4","Trust A","Trust A - Q2"
"dd","Dignity","Good family contact.
Nice keyworker - supportive.
Treat me like a person.","4","Trust A","Trust A - Q2"
"dd","Dignity","Made me feel that I was not ignored by how I was feeling and answered all questions that I had.","4","Trust A","Trust A - Q2"
"xn","Miscellaneous","I like to believe I'm a positive person but I cannot think of one positive.
The bed was made when I arrived?","0","Trust A","Trust A - Q2"
"sa","Staff","Staff all very understanding. 
Rooms excellent & clean. ","3","Trust A","Trust A - Q2"
"ss","Staff","Anna & Alice deserve pay rise. ","3","Trust A","Trust A - Q2"
"sa","Staff","Very kind and helpful.","3","Trust A","Trust A - Q2"
"cc","Care received","I found the whole service a pleasure to deal with in my time of needing the service, it took the worry from my situation knowing my care was in safe and professional hands.","4","Trust A","Trust A - Q2"
"ml","Communication","Listen.","3","Trust A","Trust A - Q2"
"sp","Staff","Listened/supported/encouraged. Took a pragmatic approach & adapted to the individual needs of the child. Amazing support for the parents","4","Trust A","Trust A - Q2"
"tc","Transition/coordination","Kept to your word, rang back when you said you would. 
Kept a consistency, which I needed when I felt really low. 
My nurse, Tina was excellent!","4","Trust A","Trust A - Q2"
"cc","Care received","Looked after me. ","3","Trust A","Trust A - Q2"
"xn","Miscellaneous","Lots with more patients. ",NA,"Trust A","Trust A - Q2"
"sa","Staff","Speak to us kindly, smile and mean it, which means a lot to use & makes us feel much better.  Some of you are great, helpful, kind & nice. ","4","Trust A","Trust A - Q2"
"sa","Staff","Staff friendly & kind always had smiles. ","3","Trust A","Trust A - Q2"
"ss","Staff","Drs & nurses. ","2","Trust A","Trust A - Q2"
"tc","Transition/coordination","You kept in touch with me, which make me feel safe. ","3","Trust A","Trust A - Q2"
"cc","Care received","Very helpful. ","3","Trust A","Trust A - Q2"
"cs","Care received","All aspects of the service were impressive. 
I received lots of advice and support by caring staff.  Phil, Angela and Richard were very professional.","3","Trust A","Trust A - Q2"
"ml","Communication","Listened. ","3","Trust A","Trust A - Q2"
"mm","Communication","Kept communication going during a global pandemic & kept things consistent & reassuring. ","3","Trust A","Trust A - Q2"
"mm","Communication","Excellent communication and support from our CPN is very good.  We are able to work together to find the best solution for our service users - in their best interests. ","3","Trust A","Trust A - Q2"
"cs","Care received","Give me good advice, very caring with my mother. Also arranged all mothers waking and bathing aids.  Klaudia was fantastic. ","4","Trust A","Trust A - Q2"
"mi","Communication","Very caring, explained everything, very professional","4","Trust A","Trust A - Q2"
"mi","Communication","Explained very well. Very polite staff.","3","Trust A","Trust A - Q2"
"cr","Care received","Quick, efficient, easy to use equipment.","2","Trust A","Trust A - Q2"
"sp","Staff","Tracey went to great trouble to rehabilitate my wife who has dementia and fractured pelvis. She kept me informed as my wife was in a care home and I had no access to her. Your team were stars.","4","Trust A","Trust A - Q2"
"ss","Staff","Polite, professional, caring","3","Trust A","Trust A - Q2"
"cr","Care received","Fantastic to have a person deliver the training who could relate to this issue and find positive solutions, took on board the team concerns and turned these into positives.  Made the training a great forum for reflective practice. ","3","Trust A","Trust A - Q2"
"cc","Care received","Just being there for us. ","3","Trust A","Trust A - Q2"
"ss","Staff","Head to head CAMHS & Michael have played a valuable part in helping xxxx get back on the right track so I thank them all for their help.  Without them I don't know where we would be. ","4","Trust A","Trust A - Q2"
"ss","Staff","The service from Richard has been exceptional - thank you!
Personal service, really get to understand the individual and the family.  Varied approach, working with the professionals.","3","Trust A","Trust A - Q2"
"cc","Care received","As a first experience of Mental Health Services I could not have asked for more, particularly within the restriction necessary for COVID 19.  Nurse Gabbitas is a real credit to the service.","4","Trust A","Trust A - Q2"
"sp","Staff","Very friendly, sempt to genuinely care & gave good advice","3","Trust A","Trust A - Q2"
"mi","Communication","How things were explained to me","2","Trust A","Trust A - Q2"
"sa","Staff","Rapport<?> with nurses was excellent","3","Trust A","Trust A - Q2"
"ml","Communication","I was listened to and am now on the right track to where I need to be","4","Trust A","Trust A - Q2"
"sa","Staff","My mental health worker is amazing. She has gone above & beyond for me & really has helped me a lot. Thank you Sara","4","Trust A","Trust A - Q2"
"xe","Miscellaneous","All of it","3","Trust A","Trust A - Q2"
"ml","Communication","Yvonne is good at listening","3","Trust A","Trust A - Q2"
"ml","Communication","Just listening to my problems","3","Trust A","Trust A - Q2"
"ml","Communication","Listened and treated me with respect. 
I'm upset to lose my therapist, so know that she made an impression on my life. 
Helped me be more mindful of other people and their intentions.","3","Trust A","Trust A - Q2"
"sp","Staff","As a carer I thing your team do a wonderful job.  The community nurse that comes to see my son is absolutely brilliant, she hasn't given up on us once, which I am very grateful for as we were struggling to cope. 
You are caring, consistent, always there on the end of a phone or email.  The community nurse went out of her way to take my son for a walk, when it was the job of his support worker, who is waste of space from XXXXX  XXXXXX","4","Trust A","Trust A - Q2"
"mm","Communication","This is all new to me.  Any questions I ask they were there to answer them.  There is more as I go along. ","3","Trust A","Trust A - Q2"
"cp","Care received","The community worker cane every week as my husband had very low BP also dehydrated and under weight. Kept a check on him until he was a lot better. ","3","Trust A","Trust A - Q2"
"sa","Staff","The staff were kind to me","3","Trust A","Trust A - Q2"
"cc","Care received","Making me feel alive again. ","4","Trust A","Trust A - Q2"
"cc","Care received","Excellent service - care.  Food.  Nice Staff. ","4","Trust A","Trust A - Q2"
"ss","Staff","Staff were kind and available. ","3","Trust A","Trust A - Q2"
"cc","Care received","Trying to help me, but I'm finding it hared to help myself. 
Yes I was spoken to nicely and with respect.
Yes you listened to me but I didn't say a lot. 
You explained things tome when I didn't understand.
I'm not really sure about 'Did you help us to make plans about your care?' I probably did, I don't know.
Yes you told me what the medication was for, how much to take, when to take it, and how it might make me feel.
I don't know because I get very nervous and don't feel better. 

","3","Trust A","Trust A - Q2"
"dc","Dignity","Involvement of family/carers at appropriate places of treatment course.","3","Trust A","Trust A - Q2"
"cf","Care received","The support you gave us all. Good communication. Very friendly staff. Being very thoughtful & kind.","4","Trust A","Trust A - Q2"
"cs","Care received","You help by being there for myself & family","3","Trust A","Trust A - Q2"
"mi","Communication","Everything was explained clearly & with care","3","Trust A","Trust A - Q2"
"sp","Staff","The good thing was that when you said you would do something you did it & when you said you would be round you was","4","Trust A","Trust A - Q2"
"ap","Access","Appts with nurse weekly","3","Trust A","Trust A - Q2"
"ca","Care received","Doing cooking and building my skills.  
Playing games. 
","3","Trust A","Trust A - Q2"
"ef","Environment/facilities","very little, food good. ","1","Trust A","Trust A - Q2"
"cc","Care received","The monthly visit and depot. ","3","Trust A","Trust A - Q2"
"ml","Communication","Everything, they listen and help very much. ","4","Trust A","Trust A - Q2"
"ss","Staff","Chance to meet other Ncarers.  Andrea & Nicky very good. ","4","Trust A","Trust A - Q2"
"ss","Staff","Guest speakers. 
Andrea & Nicky are always friendly and make everyone feel comfortable in the group.  
Meeting other carers. ","4","Trust A","Trust A - Q2"
"cc","Care received","Bassetlaw Carer Support Group Brilliant.","4","Trust A","Trust A - Q2"
"cc","Care received","I felt comfortable and at ease talking to the mental health team. 
Things were explained clearly.","3","Trust A","Trust A - Q2"
"cc","Care received","Easy to engage with services. ","3","Trust A","Trust A - Q2"
"sa","Staff","The staff are helpful, caring and always smiling and always have time for you and not rushing you.","3","Trust A","Trust A - Q2"
"sa","Staff","Dr Sriddran was very good.  Showed kindness and consideration for my feelings.  She showed empathy which is so crucial.  I highly recommend this doctor and I would be happy to write a letter to show her good care that she provided.  Also, the CPN Andy has been good and has shown good skills and probable should be promoted and given a pay rise.  Good work.","4","Trust A","Trust A - Q2"
"cc","Care received","They ask was I eating, sleeping alright. ","2","Trust A","Trust A - Q2"
"ml","Communication","I am listened to. ","3","Trust A","Trust A - Q2"
"ml","Communication","I feel I am listened to and my mental health cared for, I have one person checking me in fortnightly clinics.  I like my consultant and know that I am trusted by him to lead my own care. ","3","Trust A","Trust A - Q2"
"sp","Staff","Good time keeping & really helpful support from my session in wellbeing","2","Trust A","Trust A - Q2"
"ss","Staff","That Charlotte is a very great nurse. ","3","Trust A","Trust A - Q2"
"cc","Care received","Kept us updated.
Cannot fault the care he has received in very difficult circumstances. 
Staff are doing their best for him.","4","Trust A","Trust A - Q2"
"cp","Care received","Treatment was very good at getting rid of my hepatitis C. I am overall thankful of my care from this place!","3","Trust A","Trust A - Q2"
"ca","Care received","The activities included in the week. ","3","Trust A","Trust A - Q2"
"sa","Staff","My doctor and team are very good they show they care and want me to get better and care about my future, they don't judge me and fully understand me and my illness. ","4","Trust A","Trust A - Q2"
"ml","Communication","People listen, safe, take time to understand.  People are caring. ","3","Trust A","Trust A - Q2"
"ca","Care received","Using facilities eg gym playing games with staff & peers. 
Talking to staff about interests.
Reading, singing, watching tv, praying. ","3","Trust A","Trust A - Q2"
"cc","Care received","What was good was the staff tendered to my needs when I was in need. ","4","Trust A","Trust A - Q2"
"ef","Environment/facilities","Take aways","1","Trust A","Trust A - Q2"
"cc","Care received","I have been offered further education and encouraged to use the gym, which I really like. ","2","Trust A","Trust A - Q2"
"ef","Environment/facilities","The food. ","3","Trust A","Trust A - Q2"
"mi","Communication","Being able to receive info regarding my mental health, and how it changes my life.","4","Trust A","Trust A - Q2"
"sp","Staff","My progress through hospital has been slow but the doctors, psychiatrist and almost all those on a higher tier have treated me with dignity and due respect and individuality, my care second to none. ","4","Trust A","Trust A - Q2"
"ss","Staff","Some staff healthcare. ","2","Trust A","Trust A - Q2"
"cc","Care received","The care I received. ","3","Trust A","Trust A - Q2"
"sp","Staff","I was impressed with the responsible clinician, she was very good at her job and made me feel listened too. ","4","Trust A","Trust A - Q2"
"cc","Care received","Care & Listening. ","3","Trust A","Trust A - Q2"
"ca","Care received","Daily activities. ","1","Trust A","Trust A - Q2"
"sa","Staff","Staff friendly and approachable. ","3","Trust A","Trust A - Q2"
"sa","Staff","Staff are king. ","3","Trust A","Trust A - Q2"
"sa","Staff","Staff are kind. ","3","Trust A","Trust A - Q2"
"sa","Staff","Staff are caring and easy to talk to. ","3","Trust A","Trust A - Q2"
"cs","Care received","PNP Support","1","Trust A","Trust A - Q2"
"sa","Staff","Staff are kind and helpful. ","3","Trust A","Trust A - Q2"
"sp","Staff","Staff helped with my release & resettlement","3","Trust A","Trust A - Q2"
"ml","Communication","People listened to me","3","Trust A","Trust A - Q2"
"cs","Care received","She helped me find accommodation & listened","3","Trust A","Trust A - Q2"
"sp","Staff","When I was on a constant I was supported brilliant by staff","4","Trust A","Trust A - Q2"
"cs","Care received","Mental Health always helpful & easy to speak to","3","Trust A","Trust A - Q2"
"cc","Care received","Great service & I always feel looked after","4","Trust A","Trust A - Q2"
"ss","Staff","The mental health nurse Yvonne is amazing. She listens to me & helps me through my problems","4","Trust A","Trust A - Q2"
"cc","Care received","The care was very well done - thanks.","3","Trust A","Trust A - Q2"
"da","Dignity","My mental health nurse was very respectful to me and did not lie to me. ","4","Trust A","Trust A - Q2"
"cc","Care received","Always there for me. ","3","Trust A","Trust A - Q2"
"ss","Staff","Kind staff. ","3","Trust A","Trust A - Q2"
"cc","Care received","Very helpful.  
Explain everything. ","3","Trust A","Trust A - Q2"
"mm","Communication","Good to talk. ","3","Trust A","Trust A - Q2"
"cc","Care received","The mental health team always help when I need them.","3","Trust A","Trust A - Q2"
"cc","Care received","Very helpful. 
Always explains everything regarding my mental health.","3","Trust A","Trust A - Q2"
"cc","Care received","Thankyou for helping me so much, you did so much more for me. ","4","Trust A","Trust A - Q2"
"cc","Care received","Helpful. ","3","Trust A","Trust A - Q2"
"xn","Miscellaneous","NULL","NULL","Trust A","Trust A - Q2"
"co","Care received","Having people to talk to and listen to me.  All the people the came to see me were so helpful and thoughtful.  They gave me hope that I can move forward with my life. ","4","Trust A","Trust A - Q2"
"cc","Care received","Every nurse I saw was patience & took the time to listen to my issues.  
On discharge I had a clear plan and felt more optimistic about going forward than I have in a long time. Thank you crisis team.","4","Trust A","Trust A - Q2"
"cc","Care received","Kindness, support, facilities, structured days, always someone to talk to. ","4","Trust A","Trust A - Q2"
"cc","Care received","I'm really happy with the service. ","3","Trust A","Trust A - Q2"
"cc","Care received","My CPN referred me for reablement, for help with a psychologist to discuss my gender issues. 
Darren and Hannah helped me to attend appointments.  To sort out my finances and gave me a listening ear - They never judged me!","4","Trust A","Trust A - Q2"
"cc","Care received","Nice to have somebody popping in to chat. ","3","Trust A","Trust A - Q2"
"da","Dignity","Being made to feel welcomed into the ward community.  Being treated with respect & kindness.","4","Trust A","Trust A - Q2"
"ml","Communication","Been offered different treatment groups and been listened to about my care and been able to express myself to staff and my doctor. ","3","Trust A","Trust A - Q2"
"cc","Care received","Staff and patient interaction. ","3","Trust A","Trust A - Q2"
"da","Dignity","I was treated with respect & listened too.","4","Trust A","Trust A - Q2"
"ds","Dignity","Better safeguards, as we are at crisis point and there is no one to help pull us out","4","Trust A","Trust A - Q2"
"cc","Care received","Excellent: listening, help with medication, support, kindness everything CAN'T THANKYOU ENOUGH","4","Trust A","Trust A - Q2"
"ss","Staff","It was a pleasure to welcome everyone of the team into our home. It would be unfair to single out any one person out as it would imply that the others we","3","Trust A","Trust A - Q2"
"sa","Staff","Nice people, good listeners, did what you said you would do. Thank you.","3","Trust A","Trust A - Q2"
"tc","Transition/coordination","Everyone I have spoken with were consistent in working with me.","1","Trust A","Trust A - Q2"
"xe","Miscellaneous","Keep it going, thank you","3","Trust A","Trust A - Q2"
"sp","Staff","Deal with Jen X each time and am happy with all dealings I have had with her.","3","Trust A","Trust A - Q2"
"sp","Staff","Natasha has been so good at supporting and adapting to my circumstances. Also Paul from Physio has been really good","3","Trust A","Trust A - Q2"
"ml","Communication","Having someone who would listen and keep in touch has been great. Mark X has been very supportive throughout and I have always felt I could conta","3","Trust A","Trust A - Q2"
"sa","Staff","I have been seeing Matthew X, I get on well with him he makes me feel comfortable and relaxed which I haven't with some other people","3","Trust A","Trust A - Q2"
"tx","Transition/coordination","I believe there should be a open appointment for at least a year in case of emergency instead of having to go through your doctors and possibly waiting f","2","Trust A","Trust A - Q2"
"mi","Communication","Listening to me and talking few things","2","Trust A","Trust A - Q2"
"sp","Staff","Dawn mental health worker and Tracey for me the carer both excellent service","3","Trust A","Trust A - Q2"
"sp","Staff","Mark is still doing a great job helping me at the moment.","3","Trust A","Trust A - Q2"
"cc","Care received","Stay on task.","1","Trust A","Trust A - Q2"
"sp","Staff","The 2 people I actually have my therapy are amazing.","4","Trust A","Trust A - Q2"
"sp","Staff","Doctor spoke to was understanding.","3","Trust A","Trust A - Q2"
"sa","Staff","Rob, amazing mental health practitioner. Very kind, understand.","4","Trust A","Trust A - Q2"
"xn","Miscellaneous","Not really.","1","Trust A","Trust A - Q2"
"cc","Care received","Been in Therapies to do with Mandala many years. I have a real in depth knowledge of who I am. How I came to suffer with mental health. Fantastic ways to..","3","Trust A","Trust A - Q2"
"cc","Care received","My care and understanding me. ","3","Trust A","Trust A - Q2"
"sp","Staff","Professionalism. ","3","Trust A","Trust A - Q2"
"ca","Care received","I like the ward activities, they keep me busy. ","3","Trust A","Trust A - Q2"
"cc","Care received","I felt looked after. ","3","Trust A","Trust A - Q2"
"xn","Miscellaneous","None","4","Trust A","Trust A - Q2"
"xe","Miscellaneous","Everything. Nice people. ","4","Trust A","Trust A - Q2"
"cc","Care received","Listened to me, helped me, supported me, kind, good advice and techniques. ","4","Trust A","Trust A - Q2"
"ss","Staff","Never gave up on me, given was caring all thorugh COVID> ","4","Trust A","Trust A - Q2"
"cc","Care received","Thank you for looking after me whist I was at Park House clinic (Carlton) as I am disabled physically and mentally and walk with a four wheel walker.  I always feel safe when I come here as I am not safe at home and no one to look after me.  Thank you Mandy (receptionist) Sharon (café) Dot (podiatrist) and Mandy for booking my transport.","3","Trust A","Trust A - Q2"
"cp","Care received","Improvement in daughters ability to use her hands is incredible.  She has enjoyed the sessions and she was very engaged.  ","3","Trust A","Trust A - Q2"
"ce","Care received","The therapy has made me feel so much more positive.  It has made me feel motivated. ","4","Trust A","Trust A - Q2"
"cc","Care received","A great all round service, that has been invaluable and enjoyable for both xxxx and myself. 
Many thanks","3","Trust A","Trust A - Q2"
"ce","Care received","Building my son's confidence.","3","Trust A","Trust A - Q2"
"cc","Care received","First class care from the moment I arrived.","3","Trust A","Trust A - Q2"
"mm","Communication","Everything was explained very nicely.","3","Trust A","Trust A - Q2"
"sp","Staff","Friendly, competent staff and made me feel relaxed and welcome.","3","Trust A","Trust A - Q2"
"sp","Staff","The interaction and the detail gone into and the help to build an action plan for my own health and diabetes management.","3","Trust A","Trust A - Q2"
"mi","Communication","Everything was explained clearly, and I felt safe and in good hands. I didn't feel any pain. The staff were kind.","3","Trust A","Trust A - Q2"
"ce","Care received","I was made to feel at ease throughout the appointment.","3","Trust A","Trust A - Q2"
"cr","Care received","Excellent service and procedure. My son and I were put at ease on arrival, with all stages of the procedure explained throughout, keeping my son relaxed and calm.","4","Trust A","Trust A - Q2"
"wa","Access","Time-response was within two hours of referral. Kind and considerate manner and behaviour of Melissa. Amount of time given to listening and understanding patient and carer’s needs. Prompt delivery of equipment.","4","Trust A","Trust A - Q2"
"cc","Care received","General patient care. No issues at all.","2","Trust A","Trust A - Q2"
"ap","Access","Providing appropriate exercises.","3","Trust A","Trust A - Q2"
"ce","Care received","Asked if am ok. Often.","3","Trust A","Trust A - Q2"
"ss","Staff","The staff, the people.","2","Trust A","Trust A - Q2"
"wa","Access","Turned up on time and did your job!","1","Trust A","Trust A - Q2"
"mi","Communication","Clarity of information and the pace it was delivered.","3","Trust A","Trust A - Q2"
"sa","Staff","Because I'd been on the ward a few times over the years, most of the staff knew me and knew my triggers and signs. Plus the staff have always treated me right, with care and compassion.","3","Trust A","Trust A - Q2"
"ml","Communication","Felt listened to in a difficult time and the team was very helpful and accommodating.","3","Trust A","Trust A - Q2"
"sa","Staff","Very helpful employee.","2","Trust A","Trust A - Q2"
"ml","Communication","I felt that my concerns had been listened to. Always shown care and compassion throughout our telephone consultation.","3","Trust A","Trust A - Q2"
"sp","Staff","Dr X and Richard Y have been amazing during my current period of depression (I was referred into SDS in 2018 after discharge from a psychiatric unit in 2017). Dr Nixon is so knowledgeable about medication and treatment protocols for recurrent severe depression, and he explained my options clearly and responded quickly when my medications needed to change. Richard has been the best therapist I've ever seen - he applies CBT intelligently and adapts it to my individual needs. He's taken my recent diagnosis of autism on board and taken it into account, meaning our sessions are effective and have given me life-changing insights. During the enforced switch from Phenelzine to Isocarboxazid over this summer, which resulted in a relapse into depression for a couple of months, both Dr Nixon and Richard were unfailingly supportive and helped me to make the change successfully.","4","Trust A","Trust A - Q2"
"ce","Care received","That the consultant made it possible for me to go and live with my daughter, are do a good job.","3","Trust A","Trust A - Q2"
"sa","Staff","The staff were very helpful and friendly.","2","Trust A","Trust A - Q2"
"xn","Miscellaneous","Nothing was good.","3","Trust A","Trust A - Q2"
"cp","Care received","Got rid of pain patch and pain for me, but don’t think the tablets that replace the patch are strong enough to get me through the day.","2","Trust A","Trust A - Q2"
"ef","Environment/facilities","Everything from morning to night, food very good staff explanation.","2","Trust A","Trust A - Q2"
"sa","Staff","The therapist was of a very kind and caring nature which really helped. She was sympathetic and patient and really listened to what was being said to come up with the best solution. I felt I could be honest and open and this is really important during therapy.","3","Trust A","Trust A - Q2"
"sp","Staff","The CAMHS team are amazing and listen to how you're feeling without judgement. They are patient (explaining things over and over again until you believe it/get it) and reassure you when you're unsettled. They have great attitudes and show empathy throughout the sessions. I see certain CAMHS teams being slated a lot. However, I've had a very good experience with them.","4","Trust A","Trust A - Q2"
"cr","Care received","During my stay on Kingsley ward I have received excellent care from the staff. The hard work and dedication at all levels has been amazing, the kindness shown to all patients has been commendable. My sincere thanks to the whole team on the ward.","4","Trust A","Trust A - Q2"
"co","Care received","Staff are always there to help if you need then nothing is ever too much trouble. Loved watching the activities that was on and Lisa and Tina were great.","3","Trust A","Trust A - Q2"
"sp","Staff","This is a nursing team ably led by Katie, a most empathetic lady who has a superb connection with her patients. The team she leads have obviously been trained to a an extremely high level. I am a terminal cancer patient and on occasions have needed reassurance and practical help. At every level this has been achieved. This team is quite remarkable in every respect and I owe them so much.","4","Trust A","Trust A - Q2"
